configuration_id,TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,Size,Length,MutationScore
Default,br.com.swconsultoria.nfe.schema.eventoSuframaInternaliza.SignatureValueType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,35,35,6,18,1.0
Default,br.com.swconsultoria.nfe.schema.retenvcce.KeyInfoType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,34,34,5,14,1.0
Default,br.com.swconsultoria.nfe.schema_4.consSitNFe.TEvento,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,380,380,27,83,0.7384615384615385
Default,br.com.swconsultoria.nfe.dom.EventoEpec,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,130,130,26,70,1.0
Default,br.com.swconsultoria.nfe.schema.eventoSuframaVistoria.X509DataType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,20,20,3,10,1.0
Default,br.com.swconsultoria.nfe.schema_4.enviNFe.TRetConsReciNFe,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9895833333333334,351,348,32,89,1.0
Default,br.com.swconsultoria.nfe.schema.envConfRecebto.TransformType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9583333333333334,36,33,5,17,0.5
Default,br.com.swconsultoria.nfe.schema.retEnvEpec.SignedInfoType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,108,108,16,44,0.9
Default,br.com.swconsultoria.nfe.schema_4.consSitNFe.SignatureValueType,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,35,35,6,18,1.0
Default,br.com.swconsultoria.nfe.schema_4.retConsSitNFe.TRetCancNFe,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.998991935483871,273,272,27,86,0.7983870967741935
